   id, time,  addr, rssi,  ave, lane
  211,  966, 65:02,  -98,  -94,    3
  212, 1435, 65:02,  -89,  -93,    3
  213,  955, 65:02,  -97,  -93,    3
  214,  485, 65:02,  -98,  -97,    3
  215, 1439, 65:02,  -97,  -97,    3
  216,  955, 65:02, -100,  -98,    3
  217,  492, 65:02,  -91,  -95,    3
  218,  952, 65:02,  -96,  -93,    3
  219,  960, 65:02,  -91,  -93,    3
  220, 1446, 65:02,  -96,  -93,    3
  221,  962, 65:02,  -96,  -96,    3
  222, 2876, 65:02,  -94,  -95,    3
  223, 2403, 65:02, -100,  -97,    3
  224, 3110, xx:xx, -120, -110,    3
  225, 1210, 65:02,  -97, -108,    3
  226, 3090, xx:xx, -120, -108,    3
  227, 3090, xx:xx, -120, -120,    3
  228, 3088, xx:xx, -120, -120,    3
  229, 3085, xx:xx, -120, -120,    3
  230, 3092, xx:xx, -120, -120,    3
  231, 2307, 65:02,  -94, -107,    3
  232, 2893, 65:02,  -94,  -94,    3
  233,  955, 65:02, -101,  -97,    3
  234,  965, 65:02, -100, -100,    3
  235,  951, 65:02,  -99,  -99,    3
  236, 1916, 65:02, -101, -100,    3
  237, 2405, 65:02,  -93,  -97,    3
  238,  954, 65:02,  -95,  -94,    3
  239, 3088, xx:xx, -120, -107,    3
  240,  764, 65:02,  -99, -109,    3
  241,  472, 65:02,  -94,  -96,    3
  242,  483, 65:02, -100,  -97,    4
  243,  481, 65:02,  -96,  -98,    4
  244, 1916, 65:02,  -87,  -91,    4
  245,  500, 65:02,  -91,  -89,    4
  246, 1420, 65:02,  -93,  -92,    4
  247,  478, 65:02,  -98,  -95,    4
  248,  478, 65:02,  -86,  -92,    4
  249,  478, 65:02,  -91,  -88,    4
  250,  494, 65:02,  -90,  -90,    4
  251, 1428, 65:02, -101,  -95,    4
  252,  965, 65:02, -100, -100,    4
  253,  476, 65:02,  -88,  -94,    4
  254, 2400, 65:02,  -99,  -93,    4
  255, 1442, 65:02,  -99,  -99,    4
  256,  499, 65:02,  -93,  -96,    4
  257, 3098, xx:xx, -120, -106,    4
  258, 3095, xx:xx, -120, -120,    4
  259,  990, 65:02,  -99, -109,    4
  260, 1920, 65:02, -102, -100,    4
  261, 1921, 65:02,  -96,  -99,    4
  262, 3104, xx:xx, -120, -108,    4
  263,  273, 65:02,  -99, -109,    4
  264,  458, 65:02, -100,  -99,    4
  265, 3102, xx:xx, -120, -110,    4
