   id, time,  addr, rssi,  ave, lane
  241, 2113, xx:xx, -120, -120,    0
  242, 2095, xx:xx, -120, -120,    0
  243, 2126, xx:xx, -120, -120,    0
  244, 2175, xx:xx, -120, -120,    0
  245, 2107, xx:xx, -120, -120,    0
  246, 2097, xx:xx, -120, -120,    0
  247, 2098, xx:xx, -120, -120,    0
  248, 2104, xx:xx, -120, -120,    0
  249, 2097, xx:xx, -120, -120,    0
  250, 2101, xx:xx, -120, -120,    0
  251, 2099, xx:xx, -120, -120,    0
  252, 2106, xx:xx, -120, -120,    0
  253, 2135, xx:xx, -120, -120,    0
  254, 2097, xx:xx, -120, -120,    0
  255, 2103, xx:xx, -120, -120,    0
  256, 2100, xx:xx, -120, -120,    0
  257, 2101, xx:xx, -120, -120,    0
  258, 2102, xx:xx, -120, -120,    0
  259, 2151, xx:xx, -120, -120,    0
  260, 2101, xx:xx, -120, -120,    0
  261, 2104, xx:xx, -120, -120,    0
  262, 2106, xx:xx, -120, -120,    0
  263, 2106, xx:xx, -120, -120,    0
  264, 2099, xx:xx, -120, -120,    0
  265, 2099, xx:xx, -120, -120,    0
  266, 2107, xx:xx, -120, -120,    0
  267, 2117, xx:xx, -120, -120,    0
  268, 2103, xx:xx, -120, -120,    0
  269, 2103, xx:xx, -120, -120,    0
  270, 2132, xx:xx, -120, -120,    0
  271, 2103, xx:xx, -120, -120,    0
  272, 2106, xx:xx, -120, -120,    0
  273, 2130, xx:xx, -120, -120,    0
  274, 2160, xx:xx, -120, -120,    0
  275, 2106, xx:xx, -120, -120,    0
  276, 2101, xx:xx, -120, -120,    0
  277, 2129, xx:xx, -120, -120,    0
  278, 2118, xx:xx, -120, -120,    0
  279, 2103, xx:xx, -120, -120,    0
  280, 2106, xx:xx, -120, -120,    0
  281, 2126, xx:xx, -120, -120,    0
  282, 2104, xx:xx, -120, -120,    0
  283, 2105, xx:xx, -120, -120,    0
  284, 2106, xx:xx, -120, -120,    0
  285, 2114, xx:xx, -120, -120,    0
  286, 2107, xx:xx, -120, -120,    0
  287, 2133, xx:xx, -120, -120,    0
  288, 2104, xx:xx, -120, -120,    0
  289, 2156, xx:xx, -120, -120,    0
  290, 2118, xx:xx, -120, -120,    0
  291, 2109, xx:xx, -120, -120,    0
  292, 2112, xx:xx, -120, -120,    0
  293, 2109, xx:xx, -120, -120,    0
  294, 2107, xx:xx, -120, -120,    0
  295, 2106, xx:xx, -120, -120,    0
  296, 2107, xx:xx, -120, -120,    0
  297, 2129, xx:xx, -120, -120,    0
  298, 2137, xx:xx, -120, -120,    0
  299, 2085, xx:xx, -120, -120,    0
  300, 2094, xx:xx, -120, -120,    0
  301, 2113, xx:xx, -120, -120,    0
  302, 2087, xx:xx, -120, -120,    0
  303, 2086, xx:xx, -120, -120,    0
  304, 2151, xx:xx, -120, -120,    0
  305, 2088, xx:xx, -120, -120,    0
  306, 2092, xx:xx, -120, -120,    0
  307, 2089, xx:xx, -120, -120,    0
  308, 2089, xx:xx, -120, -120,    0
  309, 2090, xx:xx, -120, -120,    0
  310, 2091, xx:xx, -120, -120,    0
  311, 2090, xx:xx, -120, -120,    0
  312, 2111, xx:xx, -120, -120,    0
  313, 2118, xx:xx, -120, -120,    0
  314, 2090, xx:xx, -120, -120,    0
  315, 2092, xx:xx, -120, -120,    0
  316, 2091, xx:xx, -120, -120,    0
  317, 2089, xx:xx, -120, -120,    0
  318, 2094, xx:xx, -120, -120,    0
  319, 2142, xx:xx, -120, -120,    0
  320, 2090, xx:xx, -120, -120,    0
  321, 2091, xx:xx, -120, -120,    0
  322, 2094, xx:xx, -120, -120,    0
  323, 2093, xx:xx, -120, -120,    0
  324, 2092, xx:xx, -120, -120,    0
  325, 2091, xx:xx, -120, -120,    0
  326, 2093, xx:xx, -120, -120,    0
  327, 2101, xx:xx, -120, -120,    0
  328, 2094, xx:xx, -120, -120,    0
  329, 2093, xx:xx, -120, -120,    0
  330, 2096, xx:xx, -120, -120,    0
  331, 2096, xx:xx, -120, -120,    0
  332, 2098, xx:xx, -120, -120,    0
  333, 2092, xx:xx, -120, -120,    0
  334, 2177, xx:xx, -120, -120,    0
  335, 2117, xx:xx, -120, -120,    0
  336, 2106, xx:xx, -120, -120,    0
  337, 2091, xx:xx, -120, -120,    0
  338, 2103, xx:xx, -120, -120,    0
  339, 2099, xx:xx, -120, -120,    0
  340, 2096, xx:xx, -120, -120,    0
  341, 2096, xx:xx, -120, -120,    0
  342, 2112, xx:xx, -120, -120,    0
  343, 2095, xx:xx, -120, -120,    0
  344, 2098, xx:xx, -120, -120,    0
  345, 2141, xx:xx, -120, -120,    0
  346, 2104, xx:xx, -120, -120,    0
  347, 2109, xx:xx, -120, -120,    0
  348, 2100, xx:xx, -120, -120,    0
  349, 2173, xx:xx, -120, -120,    0
  350, 2121, xx:xx, -120, -120,    0
  351, 2100, xx:xx, -120, -120,    0
  352, 2099, xx:xx, -120, -120,    0
  353, 2125, xx:xx, -120, -120,    0
  354, 2096, xx:xx, -120, -120,    0
  355, 2126, xx:xx, -120, -120,    0
  356, 2098, xx:xx, -120, -120,    0
  357, 2096, xx:xx, -120, -120,    0
  358, 2123, xx:xx, -120, -120,    0
  359, 2109, xx:xx, -120, -120,    0
  360, 2099, xx:xx, -120, -120,    0
  361, 2101, xx:xx, -120, -120,    0
  362, 2103, xx:xx, -120, -120,    0
  363, 2105, xx:xx, -120, -120,    0
  364, 2154, xx:xx, -120, -120,    0
  365, 2104, xx:xx, -120, -120,    0
  366, 2117, xx:xx, -120, -120,    0
  367, 2106, xx:xx, -120, -120,    0
  368, 2109, xx:xx, -120, -120,    0
  369, 2105, xx:xx, -120, -120,    0
  370, 2129, xx:xx, -120, -120,    0
  371, 2104, xx:xx, -120, -120,    0
  372, 2098, xx:xx, -120, -120,    0
  373, 2109, xx:xx, -120, -120,    0
  374, 2132, xx:xx, -120, -120,    0
  375, 2098, xx:xx, -120, -120,    0
  376, 2102, xx:xx, -120, -120,    0
  377, 2110, xx:xx, -120, -120,    0
  378, 2105, xx:xx, -120, -120,    0
  379, 2177, xx:xx, -120, -120,    0
  380, 2102, xx:xx, -120, -120,    0
  381, 2107, xx:xx, -120, -120,    0
  382, 2105, xx:xx, -120, -120,    0
  383, 2154, xx:xx, -120, -120,    0
  384, 2106, xx:xx, -120, -120,    0
  385, 2104, xx:xx, -120, -120,    0
  386, 2108, xx:xx, -120, -120,    0
  387, 2104, xx:xx, -120, -120,    0
  388, 2104, xx:xx, -120, -120,    0
  389, 2107, xx:xx, -120, -120,    0
  390, 2107, xx:xx, -120, -120,    0
  391, 2108, xx:xx, -120, -120,    0
  392, 2133, xx:xx, -120, -120,    0
  393, 2108, xx:xx, -120, -120,    0
  394, 2183, xx:xx, -120, -120,    0
  395, 2104, xx:xx, -120, -120,    0
  396, 2114, xx:xx, -120, -120,    0
  397, 2108, xx:xx, -120, -120,    0
  398, 2106, xx:xx, -120, -120,    0
  399, 2108, xx:xx, -120, -120,    0
  400, 2107, xx:xx, -120, -120,    0
  401, 2115, xx:xx, -120, -120,    0
  402, 2108, xx:xx, -120, -120,    0
  403, 2133, xx:xx, -120, -120,    0
  404, 2112, xx:xx, -120, -120,    0
  405, 2109, xx:xx, -120, -120,    0
  406, 2105, xx:xx, -120, -120,    0
  407, 2134, xx:xx, -120, -120,    0
  408, 2109, xx:xx, -120, -120,    0
  409, 2183, xx:xx, -120, -120,    0
  410, 2094, xx:xx, -120, -120,    0
  411, 2088, xx:xx, -120, -120,    0
  412, 2113, xx:xx, -120, -120,    0
  413, 2090, xx:xx, -120, -120,    0
  414, 2095, xx:xx, -120, -120,    0
  415, 2092, xx:xx, -120, -120,    0
  416, 2089, xx:xx, -120, -120,    0
  417, 2094, xx:xx, -120, -120,    0
  418, 2119, xx:xx, -120, -120,    0
  419, 2089, xx:xx, -120, -120,    0
  420, 2088, xx:xx, -120, -120,    0
  421, 2090, xx:xx, -120, -120,    0
