484,-86
959,-92
974,-70
464,-69
492,-66
466,-75
489,-72
471,-73
478,-66
488,-67
477,-72
482,-71
473,-70
493,-70
955,-70
475,-69
483,-70
483,-69
476,-69
481,-69
476,-69
486,-69
474,-67
483,-67
479,-67
479,-68
485,-71
480,-69
480,-67
478,-67
475,-68
483,-69
480,-67
496,-70
465,-72
481,-68
482,-86
475,-85
493,-84
952,-95
484,-78
467,-88
483,-81
477,-82
486,-85
485,-83
476,-82
481,-82
957,-85
473,-83
482,-78
965,-82
474,-86
489,-86
960,-85
471,-82
482,-80
483,-85
490,-82
464,-87
480,-89
491,-88
470,-88
482,-90
484,-93
473,-80
488,-87
476,-84
475,-80
513,-81
